Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S25435900012,05/05/2015,2597,Hy-Vee Food Store / Cherokee,1300 N. SECOND,CHEROKEE,51012,"1300 N. SECOND
CHEROKEE 51012
(42.764111, -95.552287)",18.0,Cherokee,1031080.0,VODKA 80 PROOF,421.0,"Sazerac Co., Inc.",36978,Nikolai Vodka,6,1750,$6.92,$10.38,150,$1557.00,262.5,69.35
S11721400066,04/18/2013,2635,Hy-Vee #4 / Davenport,4064 E 53RD ST,DAVENPORT,52807,"4064 E 53RD ST
DAVENPORT 52807
(41.574973, -90.513769)",82.0,Scott,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,$4.88,$7.32,6,$43.92,3.0,0.79
S13282700068,07/10/2013,3791,Pit Stop Liquor and Tobacco,111 E HARRISON ST,JEFFERSON,50129,"111 E HARRISON ST
JEFFERSON 50129
(42.014306, -94.374603)",37.0,Greene,1052010.0,IMPORTED GRAPE BRANDIES,370.0,Pernod Ricard USA/Austin Nichols,51506,Presidente Grape Brandy (pedro Domecq),12,750,$7.50,$11.24,1,$11.24,0.75,0.2
S06580800012,07/16/2012,4284,Fareway Stores #559 / Iowa Falls,500 IOWA ST,IOWA FALLS,50126,"500 IOWA ST
IOWA FALLS 50126
(42.522324, -93.263608)",42.0,Hardin,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,Jim Beam Brands,19476,Maker's Mark,12,750,$15.74,$23.61,3,$70.83,2.25,0.59
S25403000018,04/30/2015,4829,Central City 2,1501 MICHIGAN AVE,DES MOINES,50314,"1501 MICHIGAN AVE
DES MOINES 50314
(41.605561, -93.613738)",77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,Jim Beam Brands,20247,Old Crow,12,1000,$4.98,$7.47,24,$179.28,24.0,6.34
S15367900072,10/28/2013,2601,Hy-Vee Food Store / Fairfield,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,"1300 WEST BURLINGTON AVE
FAIRFIELD 52556
(41.006456, -91.978702)",51.0,Jefferson,1011100.0,BLENDED WHISKIES,260.0,Diageo Americas,25601,Seagrams 7 Crown Bl Whiskey Mini,12,500,$6.17,$9.25,1,$9.25,0.5,0.13
S17249200021,02/05/2014,2560,Hy-Vee Food Store / Marion,3600 BUSINESS HWY 151 EAST,MARION,52302,"3600 BUSINESS HWY 151 EAST
MARION 52302
",57.0,Linn,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43027,Admiral Nelson Spiced Rum,12,1000,$7.28,$10.92,12,$131.04,12.0,3.17
S03776000011,01/26/2012,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,"1914 8TH STREET
CORALVILLE 52241
(41.682013, -91.590715)",52.0,Johnson,1081335.0,RASPBERRY SCHNAPPS,65.0,Jim Beam Brands,73456,Dekuyper Luscious Razzmatazz,12,750,$6.30,$9.45,12,$113.40,9.0,2.38
S08260400016,10/11/2012,4170,Dewey's Jack and Jill,115 E MAIN ST  PO BOX 359,WEST BRANCH,52358,"115 E MAIN ST PO BOX 359
WEST BRANCH 52358
(41.67139, -91.34538)",16.0,Cedar,1062310.0,SPICED RUM,260.0,Diageo Americas,43337,Captain Morgan Spiced Rum,12,1000,$11.30,$16.94,1,$16.94,1.0,0.26
S15898100010,11/23/2013,4730,Walgreens #05944 / Johnston,6200 MERLE HAY RD,JOHNSTON,50131,"6200 MERLE HAY RD
JOHNSTON 50131
(41.673355, -93.697684)",77.0,Polk,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,$11.55,$17.32,6,$103.92,10.5,2.77
