Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S22385600010,11/18/2014,4924,Abby Lea's,"2757, CHARLES CITY RD",NASHUA,50658,"2757, CHARLES CITY RD
NASHUA 50658
(42.959546, -92.548261)",19.0,Chickasaw,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,10807,Crown Royal Regal Apple,12,750,$15.00,$22.50,4,$90.00,3.0,0.79
S08736600003,11/06/2012,3929,Liquor And Tobacco Outlet,515 1/2 BROADWAY ST,WATERLOO,50703,"515 1/2 BROADWAY ST
WATERLOO 50703
(42.510417, -92.345102)",7.0,Black Hawk,1022100.0,TEQUILA,395.0,Proximo,89193,Jose Cuervo Especial Reposado Tequila,48,200,$3.00,$4.49,48,$215.52,9.6,2.54
S24435200011,03/10/2015,3744,Payless Foods / Dyersville,733 16TH AVE SE,DYERSVILLE,52040,"733 16TH AVE SE
DYERSVILLE 52040
(42.470204, -91.115768)",31.0,Dubuque,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41692,Uv Blue (raspberry) Vodka,6,1750,$10.49,$15.99,6,$95.94,10.5,2.77
S14244900059,08/29/2013,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,"1914 8TH STREET
CORALVILLE 52241
(41.682013, -91.590715)",52.0,Johnson,1031080.0,VODKA 80 PROOF,55.0,Sazerac North America,37938,Skol Vodka,6,1750,$7.10,$10.65,6,$63.90,10.5,2.77
S18167900007,03/31/2014,4382,Kum & Go #8 / 8th St / WDM,1293 8TH AVE,WEST DES MOINES,50265,"1293 8TH AVE
WEST DES MOINES 50265
(41.590891, -93.71326)",77.0,Polk,1062310.0,SPICED RUM,260.0,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,$8.75,$13.12,12,$157.44,9.0,2.38
S26070700131,06/08/2015,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,"2411 S 24TH ST #1
COUNCIL BLUFFS 51501
(41.238118, -95.879202)",78.0,Pottawattamie,1081600.0,WHISKEY LIQUEUR,259.0,Heaven Hill Brands,86796,Southern Host Whiskey Liqueur,12,750,$5.37,$8.06,2,$16.12,1.5,0.4
S20088200028,07/16/2014,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,"5811 ELMORE AVE
DAVENPORT 52807
(41.581826, -90.52886)",82.0,Scott,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35.0,"Bacardi U.S.A., Inc.",43036,Bacardi Gold Rum,12,750,$7.25,$11.25,12,$135.00,9.0,2.38
S22308800085,11/12/2014,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52.0,Johnson,1081200.0,CREAM LIQUEURS,260.0,Diageo Americas,68022,Bailey's Salted Caramel,12,750,$13.25,$19.88,3,$59.64,2.25,0.59
S26650700243,07/08/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82.0,Scott,1081200.0,CREAM LIQUEURS,260.0,Diageo Americas,68038,Bailey's Original Irish Cream,6,1750,$26.49,$39.74,2,$79.48,3.5,0.92
S24707500013,03/25/2015,2594,Hy-Vee Food Store / Sioux City,4500 SERGEANT ROAD,SIOUX CITY,51106,"4500 SERGEANT ROAD
SIOUX CITY 51106
(42.448057, -96.350374)",97.0,Woodbury,1011200.0,STRAIGHT BOURBON WHISKIES,492.0,Western Spirits Beverage Co. LLC,16825,Bird Dog Bourbon,6,750,$10.00,$15.00,6,$90.00,4.5,1.19
S24580900002,03/18/2015,2568,Hy-Vee Food Store #4 / Cedar Rapids,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,"1556 FIRST AVENUE NE
CEDAR RAPIDS 52402
(41.988968, -91.650752)",57.0,Linn,1012210.0,SINGLE MALT SCOTCH,370.0,Pernod Ricard USA/Austin Nichols,5036,Glenlivet 12 Yr Malt Scotch,12,750,$22.49,$33.74,3,$101.22,2.25,0.59
S24057000039,02/16/2015,5081,Casey's General Store #3035 / Atlant,701 POPLAR ST,ATLANTIC,50022,"701 POPLAR ST
ATLANTIC 50022
(41.403737, -95.014425)",15.0,Cass,1081200.0,CREAM LIQUEURS,260.0,Diageo Americas,68034,Bailey's Original Irish Cream,12,375,$7.00,$10.50,3,$31.50,1.12,0.3
S15301200067,10/23/2013,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,"2827 HAMILTON BLVD
SIOUX CITY 51104
(42.519884, -96.417783)",97.0,Woodbury,1062300.0,FLAVORED RUM,260.0,Diageo Americas,43219,Captain Morgan Parrot Bay Orange,12,750,$7.49,$11.23,96,$1078.08,72.0,19.02
S26491000003,07/07/2015,3872,Target Store T-0086 / Dubuque,3500 DODGE ST,DUBUQUE,52003,"3500 DODGE ST
DUBUQUE 52003
(42.491948, -90.720484)",31.0,Dubuque,1031080.0,VODKA 80 PROOF,461.0,Campari(skyy),37988,Skyy Vodka,6,1750,$17.15,$25.73,1,$25.73,1.75,0.46
S12613400003,06/05/2013,3859,Wal-Mart 0750 / Independence,302 ENTERPRISE DR SW,INDEPENDENCE,50644,"302 ENTERPRISE DR SW
INDEPENDENCE 50644
(42.450709, -91.892924)",10.0,Buchanan,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41783,Uv Blue Raspberry Vodka Mini,6,500,$3.67,$6.10,24,$146.40,12.0,3.17
S04785200022,03/28/2012,3762,Wine and Spirits Gallery,7690 HICKMAN RD,WINDSOR HEIGHTS,50322,"7690 HICKMAN RD
WINDSOR HEIGHTS 50322
(41.61467, -93.722451)",77.0,Polk,1052010.0,IMPORTED GRAPE BRANDIES,420.0,"Moet Hennessy USA, Inc.",48154,Hennessy Black,12,375,$11.49,$17.24,1,$17.24,0.38,0.1
S23493100011,01/14/2015,4907,Prime Mart,2323 MAIN ST,CEDAR FALLS,50613,"2323 MAIN ST
CEDAR FALLS 50613
(42.516198, -92.44586)",7.0,Black Hawk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35.0,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,$5.54,$8.31,4,$33.24,2.0,0.53
S10919700010,03/05/2013,2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,"400 LOCUST ST
DUBUQUE 52001
(42.497219, -90.666497)",31.0,Dubuque,1011100.0,BLENDED WHISKIES,434.0,Luxco-St Louis,24156,Hawkeye Blend Whiskey,12,750,$3.35,$5.03,12,$60.36,9.0,2.38
S23536800084,01/16/2015,2601,Hy-Vee Food Store / Fairfield,1300 WEST BURLINGTON AVE,FAIRFIELD,52556,"1300 WEST BURLINGTON AVE
FAIRFIELD 52556
(41.006456, -91.978702)",51.0,Jefferson,1031200.0,VODKA FLAVORED,260.0,Diageo Americas,77658,Smirnoff Cranberry,12,750,$8.25,$12.38,3,$37.14,2.25,0.59
S05259100120,04/26/2012,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,"3221 SE 14TH ST
DES MOINES 50320
(41.554101, -93.596754)",77.0,Polk,1081400.0,TRIPLE SEC,55.0,Sazerac North America,86390,Montezuma Triple Sec,12,1000,$2.13,$3.19,12,$38.28,12.0,3.17
S11376100050,04/01/2013,3704,Celtics Beverage Company,1122 BROADWAY,EMMETSBURG,50536,"1122 BROADWAY
EMMETSBURG 50536
(43.109636, -94.678806)",74.0,Palo Alto,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11348,Seagrams V.o. Bl Canadian Whisky Pet,6,1750,$15.42,$23.13,1,$23.13,1.75,0.46
S06175800029,06/20/2012,3660,Wal-Mart 2935 / Knoxville,814 W BELL AVE,KNOXVILLE,50138,"814 W BELL AVE
KNOXVILLE 50138
",63.0,Marion,1081365.0,TROPICAL FRUIT SCHNAPPS,421.0,"Sazerac Co., Inc.",83906,Maui Blue Hawaiian Schnapps,12,750,$3.67,$5.50,6,$33.00,4.5,1.19
S13924200030,08/15/2013,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,"310 N 1ST ST
IOWA CITY 52245
(41.665693, -91.502069)",52.0,Johnson,1031080.0,VODKA 80 PROOF,259.0,Heaven Hill Brands,35416,Burnett's Vodka 80 Prf,12,750,$4.16,$6.58,12,$78.96,9.0,2.38
S16185700014,12/10/2013,2959,Dahl's / Merle Hay,4343 MERLE HAY ROAD,DES MOINES,50310,"4343 MERLE HAY ROAD
DES MOINES 50310
(41.637408, -93.697647)",77.0,Polk,1011500.0,STRAIGHT RYE WHISKIES,65.0,Jim Beam Brands,27056,Jim Beam Rye,12,750,$11.03,$16.55,12,$198.60,9.0,2.38
S13776400040,08/07/2013,2585,Hy-Vee Wine and Spirits / Algona,1516 HIGHWAY 169 NORTH,ALGONA,50511,"1516 HIGHWAY 169 NORTH
ALGONA 50511
(43.081288, -94.236003)",55.0,Kossuth,1031080.0,VODKA 80 PROOF,297.0,Laird And Company,35917,Five O'clock Vodka,12,1000,$4.17,$6.25,24,$150.00,24.0,6.34
S19096000040,05/21/2014,2642,Hy-Vee Wine and Spirits / Pella,512 E OSKALOOSA,PELLA,50219,"512 E OSKALOOSA
PELLA 50219
(41.397023, -92.899722)",63.0,Marion,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192.0,Sidney Frank Importing Co.,65257,Jagermeister Liqueur,12,1000,$15.54,$23.31,12,$279.72,12.0,3.17
S13601200006,07/29/2013,3833,Wal-Mart 3394 / Atlantic,1905 EAST 7TH ST,ATLANTIC,50022,"1905 EAST 7TH ST
ATLANTIC 50022
(41.403853, -94.98571)",15.0,Cass,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,$11.55,$17.32,6,$103.92,10.5,2.77
S21601600011,10/06/2014,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",82.0,Scott,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,Jim Beam Brands,19067,Jim Beam,12,1000,$12.08,$18.12,24,$434.88,24.0,6.34
S21245300045,09/16/2014,4346,Roy's Foodland,105 PEARL ST,SHELLSBURG,52332,"105 PEARL ST
SHELLSBURG 52332
(42.094181, -91.869288)",6.0,Benton,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34007,Absolut Swedish Vodka 80 Prf,12,1000,$14.99,$22.49,2,$44.98,2.0,0.53
S28222600026,10/01/2015,4847,Slagle Foods LeClaire,1301 EAGLE RIDGE RD,LECLAIRE,52753,"1301 EAGLE RIDGE RD
LECLAIRE 52753
(41.587349, -90.359813)",82.0,Scott,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41704,Uv Red (cherry) Vodka,12,750,$6.50,$9.75,2,$19.50,1.5,0.4
S27944500031,09/16/2015,2551,Hy-Vee Food Store / Chariton,2001 WEST COURT,CHARITON,50049,"2001 WEST COURT
CHARITON 50049
",59.0,Lucas,1022100.0,TEQUILA,395.0,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,$10.49,$15.74,12,$188.88,9.0,2.38
S26481800019,06/29/2015,2575,Hy-Vee Food Store #1 / Waterloo,2834 Ansborough Ave,WATERLOO,50702,"2834 Ansborough Ave
WATERLOO 50702
(42.472607, -92.376643)",7.0,Black Hawk,1031080.0,VODKA 80 PROOF,301.0,Fifth Generation Inc.,38176,Titos Vodka,12,750,$9.65,$14.48,12,$173.76,9.0,2.38
S10667000018,02/18/2013,2500,Hy-Vee Food Store #1 / Ames,3800 W LINCOLN WAY,AMES,50010,"3800 W LINCOLN WAY
AMES 50010
(42.023145, -93.715664)",85.0,Story,1081390.0,IMPORTED SCHNAPPS,421.0,"Sazerac Co., Inc.",69611,Dr. Mcgillicuddy's Apple Pie Schnapps,12,750,$8.32,$12.48,12,$149.76,9.0,2.38
S20240000025,07/22/2014,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,"114 CENTRAL ST N Suite 1
MARSHALLTOWN 50158
",64.0,Marshall,1062310.0,SPICED RUM,260.0,Diageo Americas,43334,Captain Morgan Spiced Rum,24,375,$5.00,$7.50,24,$180.00,9.0,2.38
S11173000017,03/19/2013,2549,Hy-Vee Food Store / Indianola,910 N JEFFERSON,INDIANOLA,50125,"910 N JEFFERSON
INDIANOLA 50125
(41.368503, -93.558425)",91.0,Warren,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,41692,Uv Blue (raspberry) Vodka,6,1750,$10.48,$15.98,6,$95.88,10.5,2.77
S23395300024,01/08/2015,3858,Harolds Jack N Jill / Davenport,6723 NW BLVD UNIT 2,DAVENPORT,52806,"6723 NW BLVD UNIT 2
DAVENPORT 52806
",82.0,Scott,1031080.0,VODKA 80 PROOF,297.0,Laird And Company,35926,Five O'clock PET Vodka,12,750,$3.37,$5.06,12,$60.72,9.0,2.38
S24207400035,02/24/2015,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,"2727 DODGE ST
DUBUQUE 52003
(42.4918, -90.704724)",31.0,Dubuque,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,$31.99,$47.99,2,$95.98,3.5,0.92
S12650600029,06/06/2013,3947,Seaton's Flag Foods,122 A EAST FRONT ST,BROOKLYN,52211,"122 A EAST FRONT ST
BROOKLYN 52211
(41.728586, -92.44515)",79.0,Poweshiek,1011200.0,STRAIGHT BOURBON WHISKIES,461.0,Campari(skyy),77776,Wild Turkey American Honey,12,750,$10.50,$15.75,1,$15.75,0.75,0.2
S28878500180,11/05/2015,2626,Hy-Vee Drugstore / University / DSM,4100 UNIVERSITY AVE,DES MOINES,50311,"4100 UNIVERSITY AVE
DES MOINES 50311
(41.600361, -93.673223)",77.0,Polk,1081380.0,MISCELLANEOUS SCHNAPPS,65.0,Jim Beam Brands,82626,Dekuyper Cherry Pucker Schnapps,12,750,$6.30,$9.45,3,$28.35,2.25,0.59
S04704600011,03/26/2012,4539,Casey's General Store #40 / Scranton,900 LOCUST ST,SCRANTON,51462,"900 LOCUST ST
SCRANTON 51462
(42.022413, -94.551577)",37.0,Greene,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,$10.89,$16.33,6,$97.98,4.5,1.19
S09424600141,12/11/2012,2625,Hy-Vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,"3301 W KIMBERLY RD
DAVENPORT 52804
",82.0,Scott,1032200.0,IMPORTED VODKA - MISC,370.0,Pernod Ricard USA/Austin Nichols,33966,Absolut Orient Apple,12,750,$11.00,$16.49,3,$49.47,2.25,0.59
S19609100072,06/18/2014,3723,J D Spirits Liquor,1023  9TH ST,ONAWA,51040,"1023 9TH ST
ONAWA 51040
(42.025841, -96.095845)",67.0,Monona,1081365.0,TROPICAL FRUIT SCHNAPPS,65.0,Jim Beam Brands,82857,Dekuyper Island Punch Pucker,12,1000,$7.62,$11.43,2,$22.86,2.0,0.53
S13145600027,07/03/2013,4310,Fareway Stores #502 / Cherokee,205 WEST BLUFF ST,CHEROKEE,51012,"205 WEST BLUFF ST
CHEROKEE 51012
(42.75508, -95.551866)",18.0,Cherokee,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,$5.77,$8.66,2,$17.32,1.5,0.4
S18341400015,04/09/2014,4105,Fareway Stores #426 / Nevada,1505 SOUTH B AVE,NEVADA,50201,"1505 SOUTH B AVE
NEVADA 50201
(42.009797, -93.439899)",85.0,Story,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,$11.49,$17.24,2,$34.48,1.5,0.4
S04692900036,03/22/2012,4180,Smokin' Joe's #10 Tobacco and Liquor,480 7TH AVE,MARION,52302,"480 7TH AVE
MARION 52302
(42.033308, -91.60546)",57.0,Linn,1031080.0,VODKA 80 PROOF,297.0,Laird And Company,35918,Five O'clock Vodka,6,1750,$6.92,$10.38,2,$20.76,3.5,0.92
S26347500007,06/23/2015,4228,Fareway Stores #462 / Vinton,501 A AVE,VINTON,52349,"501 A AVE
VINTON 52349
(42.166166, -92.025603)",6.0,Benton,1081015.0,IMPORTED AMARETTO,130.0,Disaronno International LLC,64136,Disaronno Amaretto,12,750,$13.86,$20.79,12,$249.48,9.0,2.38
S15145100080,10/15/2013,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,"7101 UNIVERSITY AVE
WINDSOR HEIGHTS 50311
(41.600375, -93.715949)",77.0,Polk,1081317.0,GRAPE SCHNAPPS,65.0,Jim Beam Brands,82636,Dekuyper Grape Pucker Schnapps,12,750,$5.30,$8.45,4,$33.80,3.0,0.79
S23524000005,01/15/2015,4140,Fareway Stores #900 / Euclid,100 EUCLID AVE,DES MOINES,50313,"100 EUCLID AVE
DES MOINES 50313
(41.627684, -93.618724)",77.0,Polk,1051010.0,AMERICAN GRAPE BRANDIES,115.0,"Constellation Wine Company, Inc.",53216,Paul Masson Grande Amber Brandy,12,750,$6.30,$9.45,12,$113.40,9.0,2.38
S16498700048,12/26/2013,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,"2217 COLLEGE
CEDAR FALLS 50613
(42.517607, -92.455802)",7.0,Black Hawk,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,461.0,Campari(skyy),64996,Frangelico Liqueur,12,750,$13.50,$20.25,12,$243.00,9.0,2.38
S13459400039,07/22/2013,4306,Northside One Stop / Hampton,1208  4TH ST NE,HAMPTON,50441,"1208 4TH ST NE
HAMPTON 50441
(42.753045, -93.202452)",35.0,Franklin,1081330.0,PEACH SCHNAPPS,65.0,Jim Beam Brands,82844,Dekuyper Peachtree Schnapps,24,375,$3.06,$4.59,3,$13.77,1.12,0.3
S17730200112,03/12/2014,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82.0,Scott,1031200.0,VODKA FLAVORED,380.0,Phillips Beverage Company,40228,UV Sriracha Mini,6,500,$4.89,$7.34,2,$14.68,1.0,0.26
S26835800017,07/20/2015,4467,Kum & Go #438 / Muscatine,1010 PARK AVE,MUSCATINE,52761,"1010 PARK AVE
MUSCATINE 52761
(41.435925, -91.030816)",70.0,Muscatine,1081300.0,PEPPERMINT SCHNAPPS,434.0,Luxco-St Louis,81204,Paramount Peppermint Schnapps,24,375,$2.28,$3.42,5,$17.10,1.88,0.5
S26841700070,07/21/2015,2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,"400 LOCUST ST
DUBUQUE 52001
(42.497219, -90.666497)",31.0,Dubuque,1011100.0,BLENDED WHISKIES,65.0,Jim Beam Brands,24454,Kessler Blend Whiskey,24,375,$3.15,$4.73,4,$18.92,1.5,0.4
S16917800018,01/20/2014,4164,Expo Mart / Bettendorf,1810 STATE ST,BETTENDORF,52722,"1810 STATE ST
BETTENDORF 52722
(41.525308, -90.506775)",82.0,Scott,1031080.0,VODKA 80 PROOF,380.0,Phillips Beverage Company,37356,Phillips Vodka Ez Pack,12,750,$3.57,$5.35,12,$64.20,9.0,2.38
S29107200150,11/17/2015,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,52405,"1843 JOHNSON AVENUE, N.W.
CEDAR RAPIDS 52405
(41.97447, -91.697941)",57.0,Linn,1032080.0,IMPORTED VODKA,260.0,Diageo Americas,36871,Ciroc Luxury Vodka,12,750,$18.49,$27.74,4,$110.96,3.0,0.79
S05233700048,04/25/2012,3644,Wal-Mart 2764 / Altoona,3501  8TH ST SW,ALTOONA,50009,"3501 8TH ST SW
ALTOONA 50009
(41.644195, -93.505276)",77.0,Polk,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,$11.55,$17.32,24,$415.68,42.0,11.1
S25961600155,06/02/2015,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,"7101 UNIVERSITY AVE
WINDSOR HEIGHTS 50311
(41.600375, -93.715949)",77.0,Polk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434.0,Luxco-St Louis,45278,Paramount White Rum,6,1750,$7.84,$11.76,6,$70.56,10.5,2.77
S19638000002,06/18/2014,4057,Tequila's Liquor Store,1434 DES MOINES ST STE 5,DES MOINES,50316,"1434 DES MOINES ST STE 5
DES MOINES 50316
(41.594713, -93.597039)",77.0,Polk,1062310.0,SPICED RUM,260.0,Diageo Americas,43334,Captain Morgan Spiced Rum,24,375,$5.00,$7.50,24,$180.00,9.0,2.38
S26122500016,06/10/2015,4762,Huber's Store Inc.,101 MAIN ST,FORT ATKINSON,52144,"101 MAIN ST
FORT ATKINSON 52144
(43.143391, -91.932844)",96.0,Winneshiek,1081030.0,COFFEE LIQUEURS,370.0,Pernod Ricard USA/Austin Nichols,67526,Kahlua Coffee Liqueur,12,750,$11.99,$17.99,12,$215.88,9.0,2.38
S28742300017,10/29/2015,3920,Smokin' Joe's #11 Tobacco and Liquor,1606 CAMANCHE AVE,CLINTON,52732,"1606 CAMANCHE AVE
CLINTON 52732
(41.827842, -90.204753)",23.0,Clinton,1052010.0,IMPORTED GRAPE BRANDIES,389.0,REMY COINTREAU USA         .,49185,Remy Martin Vsop (flask),12,375,$10.66,$15.99,1,$15.99,0.38,0.1
S25149900001,04/20/2015,3549,Quicker Liquor Store,1414 48TH ST,FORT MADISON,52627,"1414 48TH ST
FORT MADISON 52627
(40.624226, -91.373211)",56.0,Lee,1031080.0,VODKA 80 PROOF,55.0,Sazerac North America,37934,Skol Vodka,24,375,$1.74,$2.61,24,$62.64,9.0,2.38
S27837600119,09/10/2015,2561,Hy-Vee Food Store / Fleur / DSM,4605 FLEUR DRIVE,DES MOINES,50321,"4605 FLEUR DRIVE
DES MOINES 50321
(41.542816, -93.644943)",77.0,Polk,1062300.0,FLAVORED RUM,65.0,Jim Beam Brands,44499,Cruzan Mango Rum,12,750,$6.83,$10.25,2,$20.50,1.5,0.4
S21498700020,09/30/2014,4285,Fareway Stores #922 / New Hampton,102 S WATER AVE,NEW HAMPTON,50659,"102 S WATER AVE
NEW HAMPTON 50659
(43.058386, -92.312899)",19.0,Chickasaw,1062310.0,SPICED RUM,260.0,Diageo Americas,43316,Captain Morgan Private Stock Rum,12,750,$11.45,$17.18,6,$103.08,4.5,1.19
S12247100005,05/15/2013,4293,Eddyville Market and Deli L,121 WALNUT,EDDYVILLE,52553,"121 WALNUT
EDDYVILLE 52553
(41.156373, -92.638037)",90.0,Wapello,1012200.0,SCOTCH WHISKIES,260.0,Diageo Americas,5346,Johnnie Walker Red,12,750,$14.00,$20.99,1,$20.99,0.75,0.2
S04001500003,02/09/2012,2840,CVS Pharmacy #8633 / Bettendorf,2002 SPRUCE HILLS DR,BETTENDORF,52722,"2002 SPRUCE HILLS DR
BETTENDORF 52722
(41.550134, -90.503813)",82.0,Scott,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434.0,Luxco-St Louis,45278,Paramount White Rum,6,1750,$7.58,$11.37,6,$68.22,10.5,2.77
S15568000041,11/06/2013,2594,Hy-Vee Food Store / Sioux City,4500 SERGEANT ROAD,SIOUX CITY,51106,"4500 SERGEANT ROAD
SIOUX CITY 51106
(42.448057, -96.350374)",97.0,Woodbury,1011200.0,STRAIGHT BOURBON WHISKIES,421.0,"Sazerac Co., Inc.",16518,Ancient Age Bourbon,6,1750,$11.80,$17.70,6,$106.20,10.5,2.77
S27940500043,09/16/2015,2513,Hy-Vee Food Store #2 / Iowa City,812  S 1ST AVE,IOWA CITY,52240,"812 S 1ST AVE
IOWA CITY 52240
",52.0,Johnson,1041100.0,AMERICAN DRY GINS,434.0,Luxco-St Louis,31658,Paramount Gin,6,1750,$7.11,$10.67,6,$64.02,10.5,2.77
S19817200105,06/27/2014,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,"3235 OAKLAND ROAD NE
CEDAR RAPIDS 52402
(42.010972, -91.658105)",57.0,Linn,1062310.0,SPICED RUM,260.0,Diageo Americas,43244,Captain Morgan 100 Proof Spiced Rum,12,750,$10.00,$14.99,4,$59.96,3.0,0.79
S04368600019,03/05/2012,3524,Sam's Club 6568 / Ames,305 AIRPORT RD,AMES,50010,"305 AIRPORT RD
AMES 50010
(42.001123, -93.61365)",85.0,Story,1011200.0,STRAIGHT BOURBON WHISKIES,421.0,"Sazerac Co., Inc.",16518,Ancient Age Bourbon,6,1750,$11.24,$16.87,12,$202.44,21.0,5.55
S19006600065,05/19/2014,2558,Hy-Vee Food Store / Mount Pleasant,1700 E WASHINGTON,MOUNT PLEASANT,52641,"1700 E WASHINGTON
MOUNT PLEASANT 52641
(40.961243, -91.525484)",44.0,Henry,1062310.0,SPICED RUM,260.0,Diageo Americas,43331,Captain Morgan Spiced Rum Mini,12,500,$5.50,$8.25,1,$8.25,0.5,0.13
S23121200016,12/22/2014,3822,The Secret Cellar,1205 CURTIS BR RD NE,SWISHER,52338,"1205 CURTIS BR RD NE
SWISHER 52338
",52.0,Johnson,1081317.0,GRAPE SCHNAPPS,65.0,Jim Beam Brands,82637,Dekuyper Grape Pucker,12,1000,$7.62,$11.43,1,$11.43,1.0,0.26
S28579500016,10/20/2015,2629,Hy-Vee Food Store #2 / Council Bluff,1745 MADISON AVE,COUNCIL BLUFFS,51503,"1745 MADISON AVE
COUNCIL BLUFFS 51503
(41.242732, -95.825137)",78.0,Pottawattamie,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43027,Admiral Nelson Spiced Rum,12,1000,$7.28,$10.92,12,$131.04,12.0,3.17
S10889100063,03/04/2013,2622,Hy-Vee Food Store / Iowa City,1125 N DODGE ST,IOWA CITY,52240,"1125 N DODGE ST
IOWA CITY 52240
(41.676203, -91.518536)",52.0,Johnson,1051010.0,AMERICAN GRAPE BRANDIES,205.0,E AND J GALLO WINERY,52595,E & J Vs Brandy Travelers,12,750,$5.75,$8.62,6,$51.72,4.5,1.19
S19624400020,06/18/2014,3715,Kimberly Mart / Davenport,1714 E KIMBERLY RD,DAVENPORT,52807,"1714 E KIMBERLY RD
DAVENPORT 52807
(41.556966, -90.550657)",82.0,Scott,1032080.0,IMPORTED VODKA,370.0,Pernod Ricard USA/Austin Nichols,34003,Absolut Swedish Vodka 80 Prf,24,200,$3.99,$5.99,24,$143.76,4.8,1.27
S09154600013,11/27/2012,3632,Wal-Mart 2004 / Dubuque,4200 DODGE ST,DUBUQUE,52003,"4200 DODGE ST
DUBUQUE 52003
(42.489025, -90.73695)",31.0,Dubuque,1011100.0,BLENDED WHISKIES,434.0,Luxco-St Louis,24158,Hawkeye Blend Whiskey,6,1750,$7.38,$11.07,12,$132.84,21.0,5.55
